HK.香港.A | 直连,1676532761072,1676532761072,22007514,22007514
US.美国.C | 专线.IPLC		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.519, 10954967345,-1
JP.东京.C | 中转		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.519, 135211053,-1
JP.东京.C | 中转		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.529, 160595028,-1
HK.香港.A | 中转		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.519, 31381397.5,-1
US.美国.B | 中转		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.519, 82475255,-1
US.美国.B | 中转		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.529, 83857650,-1
HK.香港.B | 直连		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.519, 21608422,-1
HK.香港.E | 专线.IEPL		,2023-02-16 15:54:58.519, 2023-02-16 15:54:58.519, 18989110,-1

HK.香港.A | 直连		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.412, 22007514,-1
HK.香港.B | 中转		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.412, 713021557.5,-1
US.美国.C | 专线.IPLC		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.412, 10954967345,-1
JP.东京.C | 中转		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.412, 135211053,-1
JP.东京.C | 中转		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.417, 160595028,-1
HK.香港.A | 中转		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.412, 31381397.5,-1
US.美国.B | 中转		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.412, 82475255,-1
US.美国.B | 中转		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.417, 83857650,-1
HK.香港.B | 直连		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.412, 21608422,-1
HK.香港.E | 专线.IEPL		,2023-02-16 15:59:53.412, 2023-02-16 15:59:53.412, 18989110,-1

HK.香港.A | 直连		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.633, 22007514,-1
HK.香港.B | 中转		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.633, 713021557.5,-1
US.美国.C | 专线.IPLC		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.633, 10954967345,-1
JP.东京.C | 中转		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.633, 135211053,-1
JP.东京.C | 中转		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.638, 160595028,-1
HK.香港.A | 中转		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.633, 31381397.5,-1
US.美国.B | 中转		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.633, 82475255,-1
US.美国.B | 中转		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.638, 83857650,-1
HK.香港.B | 直连		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.633, 21608422,-1
HK.香港.E | 专线.IEPL		,2023-02-16 16:00:08.633, 2023-02-16 16:00:08.633, 18989110,-1

HK.香港.A | 直连		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.013, 22007514,-1
HK.香港.B | 中转		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.013, 713021557.5,-1
US.美国.C | 专线.IPLC		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.013, 10954967345,-1
JP.东京.C | 中转		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.013, 135211053,-1
JP.东京.C | 中转		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.017, 160595028,-1
HK.香港.A | 中转		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.013, 31381397.5,-1
US.美国.B | 中转		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.013, 82475255,-1
US.美国.B | 中转		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.017, 83857650,-1
HK.香港.B | 直连		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.013, 21608422,-1
HK.香港.E | 专线.IEPL		,2023-02-16 16:05:27.013, 2023-02-16 16:05:27.013, 18989110,-1

JP.东京.C | 中转		,2023-02-16 16:05:27.017, 2023-02-16 16:05:44.511, 135211053,-25383975
JP.东京.C | 中转		,2023-02-16 16:05:44.511, 2023-02-16 16:05:44.514, 160595028,25383975
US.美国.B | 中转		,2023-02-16 16:05:27.017, 2023-02-16 16:05:44.511, 82475255,-1382395
US.美国.B | 中转		,2023-02-16 16:05:44.511, 2023-02-16 16:05:44.514, 83857650,1382395

